番号,項目,語数
1.4240,そで・襟・身ごろ・ポケットなど,29
1.4250,帽子・マスクなど,29
1.4251,ネクタイ・帯・手袋・靴下など,25
1.4252,武具・防具・刑具,18
1.4260,履き物,19
1.4261,雨具・日よけなど,7
1.4270,寝具,38
1.4280,装身具,41
1.43,食料,174
1.4300,食料,24
1.4310,料理,41
1.4320,米・ぬか・小麦粉など,22
1.4321,乾物・漬け物など,5
1.4322,梅干し・豆腐・寒天・とろろなど,3
1.4323,魚・肉,7
1.4330,調味料・こうじなど,12
1.4340,菓子,5
1.4350,飲料・たばこ,18
1.4360,薬剤・薬品,11
1.4370,化粧品,26
1.44,住居,901
1.4400,住居,97
1.4410,家屋・建物,354
1.4420,門・塀,108
1.4430,部屋・床・廊下・階段など,83
1.4440,屋根・柱・壁・窓・天井など,66
1.4450,棚・台・壇など,31
1.4460,戸・カーテン・敷物・畳など,127
1.4470,家具,35
1.45,道具,617
1.4500,道具,34
1.4510,器・ふた,12
1.4511,瓶・筒・つぼ・膳など,28
1.4512,おけ・たる・缶,10
1.4513,箱など,41
1.4514,袋・かばんなど,22
1.4515,かご・俵など,11
1.4520,食器・調理器具,37
1.4530,文具,17
1.4540,農工具など,63
1.4541,日用品,28
1.4550,刃物,62
1.4551,武器,78
1.4560,楽器・レコードなど,81
1.4570,遊具・置物・像など,56
1.4580,標章・標識・旗など,23
1.4590,札・帳など,14
1.46,機械,196
1.4600,灯火,24
1.4610,鏡・レンズ・カメラ,13
1.4620,電気器具・部品,0
1.4630,機械・装置,6
1.4640,計器,1
1.4650,乗り物（陸上）,57
1.4660,乗り物（海上）,93
1.4670,乗り物（空中・宇宙）,2
1.47,土地利用,275
1.4700,地類（土地利用）,94
1.4710,道路・橋,124
1.4720,その他の土木施設,57
1.5,自然物および自然現象,3265
1.50,自然,302
1.5000,自然,6
1.5001,エネルギー,0
1.5010,光,62
1.5020,色,150
1.5030,音,60
1.5040,におい,19
1.5050,味,1
1.5060,材質,4
1.51,物質,528
1.5100,物体・物質,2
1.5110,元素,18
1.5111,鉱物,52
1.5112,さび・ちり・煙・灰など,21
1.5120,空気,0
1.5130,水・乾湿,103
1.5140,天災,14
1.5150,気象,12
1.5151,風,78
1.5152,雲,51
1.5153,雨・雪,41
1.5154,天気,24
1.5155,波・潮,68
1.5160,物質の変化,6
1.5161,火,34
1.5170,熱,4
1.52,天地,602
1.5200,宇宙・空,27
1.5210,天体,60
1.5220,天象,2
1.5230,地,10
1.5240,山野,206
1.5250,川・湖,120
1.5260,海・島,137
1.5270,地相,39
1.5280,地帯,0
1.5290,景,1
1.53,生物,5
1.5300,生物,5
1.54,植物,794
1.5400,植物,12
1.5401,木本,282
1.5402,草本,244
1.5403,隠花植物,50
1.5410,枝・葉・花・実,206
1.55,動物,432
1.5500,動物,7
1.5501,哺乳類,152
1.5502,鳥類,150
1.5503,爬虫類・両生類,10
1.5504,魚類,35
1.5505,昆虫,40
1.5506,その他の動物,38
1.56,身体,403
1.5600,身体,38
1.5601,頭・目鼻・顔,91
1.5602,胸・背・腹,39
1.5603,手足・指,59
1.5604,膜・筋・神経・内臓,11
1.5605,皮・毛髪・羽毛,106
1.5606,骨・歯・爪・角・甲,31
1.5607,体液・分泌物,24
1.5608,卵,4
1.57,生命,199
1.5700,生命,18
1.5701,生,46
1.5702,死,51
1.5710,生理,16
1.5720,障害・けが,19
1.5721,病気・体調,49
2,用の類,12122
2.1,抽象的関係,4237
2.10,真偽,2
2.1010,こそあど・他,2
2.1030,真偽・是非,0
2.11,類,83
2.1110,関係,41
2.1111,本末,1
2.1112,因果,2
2.1120,相対,10
2.1130,異同・類似,23
2.1131,連絡・所属,6
2.12,存在,439
2.1200,存在,71
2.1210,出没,180
2.1211,発生・復活,23
2.1220,成立,14
2.1240,保存,41
2.1250,消滅,61
2.1251,除去,49
2.13,様相,238
2.1302,趣・調子,110
2.1310,風・観・姿,5
2.1320,内容・構成,0
2.1331,特徴,6
2.1332,良不良・適不適,11
2.1340,調和・混乱,28
2.1341,弛緩・粗密・繁簡,14
2.1342,調節,34
2.1344,支障・損じ・荒廃,26
2.1346,難易・安危,4
2.14,力,1
2.1400,力,1
2.15,作用,3238
2.1500,作用・変化,67
2.1501,変換・交換,23
2.1502,開始,6
2.1503,終了・中止・停止,89
2.1504,連続・反復,47
2.1510,動き,18
2.1511,動揺・回転,44
2.1513,固定・傾き・転倒など,191
2.1520,進行・過程・経由,24
2.1521,移動・発着,163
2.1522,走り・飛び・流れなど,127
2.1523,巡回など,71
2.1524,通過・普及など,98
2.1525,連れ・導き・追い・逃げなど,151
2.1526,進退,60
2.1527,往復,288
2.1530,出入り,5
2.1531,出・出し,97
2.1532,入り・入れ,168
2.1533,漏れ・吸入など,22
2.1535,包み・覆いなど,55
2.1540,上がり・下がり,158
2.1541,乗り降り・浮き沈み,92
2.1550,合体・出会い・集合など,134
2.1551,統一・組み合わせ,61
2.1552,分割・分裂・分散,108
2.1553,開閉・封,43
